Unnamed: 0,num_rooms,size_sqft,age,num_bathrooms
9254,5,9604,59,2
1561,2,3143,77,3
1670,2,804,31,2
6087,2,9359,19,1
6669,8,9281,83,1
5933,3,6965,13,2
8829,3,7356,60,3
7945,9,1230,22,1
3508,4,5108,77,2
2002,4,9852,36,1
5866,9,4926,88,2
168,5,2700,19,3
2588,4,4122,53,2
5905,6,2845,13,3
9529,2,2534,48,1
6384,2,9959,1,2
7824,1,2064,38,3
9779,4,9124,78,2
4629,8,976,23,1
8560,9,9397,23,4
9291,9,7826,91,2
6874,5,556,45,3
6521,6,3011,56,1
8979,4,9145,58,1
6647,3,2746,90,3
9825,5,5887,33,1
210,2,9629,19,1
5278,9,2587,11,4
1919,6,3692,96,4
718,4,7679,98,1
4868,4,4772,79,3
7834,1,5970,66,2
1298,1,2319,37,3
9193,6,714,60,3
4617,2,9301,35,2
3128,4,4878,74,3
9795,9,8918,26,2
3979,5,7997,43,1
9924,5,2700,58,2
8317,7,3610,96,3
4393,8,6074,14,1
1287,9,1175,68,1
4355,6,788,17,2
7013,1,2948,17,3
3885,6,2609,37,2
5749,6,4314,93,1
9169,3,8860,87,4
2407,1,4987,98,2
2013,6,3443,92,2
5153,2,1900,28,3
8551,3,460,88,4
4376,2,3546,20,2
8822,6,3535,12,3
4273,8,303,22,2
5825,6,9991,30,1
6699,2,4307,13,3
7243,2,9753,81,2
449,4,468,55,1
2227,4,2909,29,2
5756,1,8835,1,2
810,3,9457,31,3
4180,8,5787,43,3
9000,1,9882,97,3
5438,3,5772,30,4
7533,1,4204,47,3
6369,9,9663,57,3
8416,8,9030,3,4
1477,7,6310,39,4
1790,2,4131,31,1
2008,2,1942,75,4
682,9,6527,15,2
2816,8,1321,51,4
9431,6,7083,15,4
3774,9,3286,19,1
6495,3,5450,78,3
8878,7,9051,29,4
7361,5,508,19,2
8366,4,6903,44,4
7474,6,6168,41,4
46,1,9305,48,4
30,3,5816,91,4
8250,1,7620,36,1
6935,9,6425,79,4
1468,6,7859,11,4
1665,4,507,9,2
1416,6,9069,17,4
6480,4,2705,82,3
4852,3,1658,96,1
2470,3,3689,25,2
4373,8,1925,20,2
8524,5,1660,43,2
429,9,1665,93,4
5244,3,2688,70,2
2119,6,5948,67,4
385,2,9905,70,3
1945,2,8894,61,2
4224,4,8583,16,4
473,7,5545,87,2
2129,8,9999,27,3
6556,9,6899,62,4
6998,2,5140,19,2
1055,1,901,94,4
3274,5,6805,30,2
4961,2,2256,18,2
5363,7,8150,29,4
5816,8,4165,91,4
811,3,6322,71,4
4573,1,1520,22,2
6137,8,1113,35,3
2388,9,9320,82,3
9648,9,8435,96,4
6225,4,5236,48,3
111,4,1064,33,1
8909,4,2391,2,3
1745,7,9879,35,1
7851,9,9631,87,1
1452,9,2399,28,4
319,2,8797,27,1
8593,7,7889,12,1
3333,4,3355,56,4
1922,3,1886,4,4
5865,2,3273,49,4
9528,4,3194,69,4
3685,7,7342,80,3
4275,5,5461,20,4
4889,7,9504,25,3
5225,6,6442,97,2
7472,3,9221,43,2
3605,6,2741,2,1
1052,1,8514,81,4
4156,9,7307,37,1
9676,2,3856,95,4
99,1,8959,88,1
7508,4,8221,53,3
1456,7,8600,78,1
7688,4,7052,93,3
4004,5,1771,43,2
6866,1,9955,87,2
4509,4,8587,51,2
3299,8,3115,74,1
3799,4,8899,88,3
4281,5,3247,27,2
9051,1,1707,83,3
6462,2,8712,5,2
7912,8,9174,90,3
1414,4,9805,10,2
540,8,7397,75,2
5815,4,3816,65,3
8199,1,6013,95,2
3680,6,2918,82,4
754,4,6455,32,2
4196,8,656,10,1
2650,8,4168,86,3
4522,2,913,67,1
9519,5,9223,41,1
3118,8,9807,59,1
3728,7,1891,17,3
3886,8,1900,25,2
7107,6,5727,5,4
8068,8,3014,81,2
7325,7,1974,40,4
8483,9,3789,49,4
8767,5,5102,75,3
6500,9,4296,74,2
8426,8,5051,66,2
7963,4,1587,92,3
601,3,2496,61,2
9249,8,8181,43,4
8919,3,3420,4,3
6814,2,6285,30,4
5411,9,6755,90,2
8747,6,9825,43,2
5522,9,2820,76,3
1044,5,4512,73,4
7334,3,3012,90,2
1557,6,2722,78,3
3739,9,5969,82,3
3522,1,2747,37,2
180,6,7083,96,2
2115,8,6747,44,4
1699,5,8330,88,3
1379,1,8642,2,4
7229,9,9392,79,3
9143,2,867,7,4
618,1,3005,40,4
3181,9,8963,85,2
9851,5,3979,31,3
1600,5,7691,46,2
5963,4,7631,67,3
1615,8,8827,2,2
5920,4,6282,3,3
9591,7,7378,39,1
3891,3,6769,30,1
2083,4,6834,68,1
4574,1,4961,75,2
5594,2,9595,18,4
5121,5,5359,82,3
4587,6,5253,96,3
4902,5,2775,46,3
8252,9,7602,26,1
5916,4,9476,32,3
5129,9,2634,16,2
8334,4,790,67,2
1918,1,7968,86,1
8330,3,4438,63,2
5707,1,8732,0,2
5384,1,7375,71,3
6336,8,2055,70,1
2054,8,5360,81,3
7612,9,5537,86,1
9209,1,2870,58,2
3963,4,2803,42,2
1126,9,8034,49,2
3428,4,2768,25,4
4601,6,4012,98,2
3721,1,9845,72,4
2389,4,2973,30,2
1322,7,6060,34,4
1603,1,5547,38,2
7224,5,5789,62,2
7425,8,2798,86,1
4336,6,1912,81,1
5593,4,4291,18,4
4411,4,509,60,2
5858,3,6345,35,4
9343,9,6560,6,1
3991,3,778,82,1
6079,4,9181,33,2
1559,9,9569,81,2
4682,9,4259,91,4
7557,8,4241,56,3
3772,4,8762,72,3
8779,9,6499,88,3
3457,9,7851,82,3
8383,1,3507,33,1
1354,6,1911,86,2
45,3,9526,90,1
9872,8,3982,53,3
748,9,2321,29,4
7917,4,6271,3,1
4241,5,9115,85,1
5628,6,5904,98,4
4657,6,7622,26,4
4238,3,7210,69,4
3460,8,8040,54,3
7381,9,6395,8,4
5549,7,4227,68,4
7075,7,9389,64,4
5838,9,9173,24,4
8091,4,493,97,1
5474,9,7808,36,1
3614,4,9186,60,2
7501,6,7310,93,3
7053,7,2856,45,3
7367,9,3806,70,3
8019,7,3571,5,3
9638,9,2888,40,4
9055,3,7299,96,2
664,3,554,89,3
2319,4,2771,79,3
3542,4,5264,74,4
3677,7,8533,81,1
9599,7,7996,67,4
3091,7,4257,59,3
675,1,784,26,2
8676,6,8451,86,1
4884,8,7183,72,4
8079,9,6170,76,1
1962,1,7911,84,4
1840,5,740,73,3
7168,7,808,53,1
9898,8,3367,39,1
3538,2,9830,65,2
8026,9,6538,17,4
4866,5,514,44,2
4174,6,5884,33,3
8088,7,7085,39,4
4377,1,1616,74,2
6211,4,6273,5,4
4766,6,592,75,4
411,3,1059,91,3
613,2,9795,25,3
6126,2,3679,65,2
5210,6,2057,43,1
1430,6,9298,90,2
2425,7,5152,42,2
8841,7,2301,56,2
3833,1,5798,22,3
4718,6,5347,43,4
7185,5,4394,55,2
1417,9,6976,10,4
7199,7,7573,88,3
604,1,1328,87,4
1272,8,2413,74,4
3964,8,2193,79,3
6367,9,7704,63,4
8746,7,1077,75,2
247,5,1419,20,4
9226,1,3159,64,1
1982,5,7759,70,4
2835,6,9927,52,3
5375,8,5251,50,3
199,8,9664,40,1
485,2,3841,57,4
6083,9,3641,42,2
8956,7,2792,8,4
455,9,9355,37,1
9798,9,3111,70,1
8826,3,2422,54,4
6515,9,8903,88,4
1721,5,5537,89,2
7050,9,4001,29,2
6382,2,5034,57,3
8165,6,5356,44,3
5767,7,5637,59,1
5809,7,5015,3,4
4626,5,2015,35,2
862,7,3053,84,2
2094,9,5140,67,1
947,1,7999,26,2
5641,6,6323,23,2
1444,4,1315,68,1
1280,3,7882,59,2
3110,7,1089,19,3
8952,3,1060,96,4
7609,2,2834,23,1
5135,5,1044,31,3
3016,4,9802,31,3
2302,5,1958,29,4
2004,5,4620,68,2
4580,4,1917,63,4
8704,9,8937,33,3
1005,5,5922,18,4
5138,4,2856,57,3
4317,1,7521,13,3
6558,2,1360,64,1
4387,6,1823,81,2
2132,1,9917,48,2
4265,6,7013,93,2
2057,3,6932,78,2
5386,8,9259,11,2
229,4,5922,57,2
2889,7,4884,19,2
4472,6,5807,57,4
6064,1,8396,51,2
7924,5,462,5,4
7649,6,7126,40,2
8381,1,6940,19,4
209,1,778,78,2
2758,8,3021,12,2
8471,5,994,46,4
2948,6,5036,16,4
7116,8,5630,46,1
6330,6,3875,46,4
1728,1,9292,67,1
4176,6,5381,26,1
337,4,6902,41,2
4984,8,310,26,1
6878,6,8154,86,1
7248,8,6330,69,1
8452,3,9153,77,4
1226,5,467,17,4
7608,8,8602,74,4
6827,1,950,55,1
3540,1,6937,19,4
5868,9,8299,89,4
2111,2,8946,62,4
2691,5,640,79,4
7153,6,2528,68,3
3707,6,743,34,4
1017,6,5187,90,2
8511,9,4609,44,1
2807,2,4679,6,4
5015,8,6632,83,4
1928,8,8856,84,3
350,5,5990,79,4
5173,4,466,76,3
4192,7,7612,14,4
1934,4,1221,86,2
6901,3,6247,13,1
4823,8,4516,95,4
564,8,2172,77,4
1582,5,8603,4,2
4694,8,6162,44,3
2175,4,7525,64,1
7028,2,714,72,3
4880,2,4294,0,1
2228,4,3381,62,2
1115,4,6693,60,4
3126,2,1344,28,3
3544,1,1602,28,1
5048,4,7082,61,1
7476,6,3229,32,1
821,5,2613,73,4
6532,8,9776,46,1
2272,8,8240,89,2
5545,8,9255,4,1
81,3,4949,62,1
1323,5,7560,92,2
9405,2,5101,17,2
1614,7,8160,27,4
831,3,5456,87,3
3883,3,6673,58,1
8641,1,9393,60,2
4464,5,7832,65,1
5339,6,4661,4,2
8066,5,4878,96,1
1649,5,1287,11,4
4065,7,2731,86,1
9665,5,7336,93,2
3038,2,6364,76,1
3320,6,1367,88,4
7143,9,5383,55,3
6889,8,6602,77,4
5092,1,1561,69,2
3720,6,2940,28,3
2423,4,8606,70,2
749,7,2047,9,2
5271,2,6273,48,2
2373,1,4219,93,4
4693,6,4048,64,3
9879,7,8358,12,3
8370,9,4421,49,3
7319,1,3961,83,2
4368,3,2284,99,1
6785,4,4612,76,1
7401,1,8204,89,3
1139,6,9391,33,4
7631,6,8747,67,2
2231,9,8950,51,3
2164,5,5905,56,4
5217,3,6016,78,2
9444,2,3972,26,2
9237,3,3697,24,2
4561,2,2781,66,2
1570,3,9241,89,3
172,7,7800,2,2
7163,6,8930,45,3
2087,5,1579,28,4
4667,7,401,2,2
4565,5,9433,99,1
7089,8,4802,69,4
6569,3,1464,71,4
4783,4,7206,24,4
2684,6,7469,57,1
1832,1,2338,24,4
8546,3,2025,62,4
5065,7,2087,68,4
9130,6,4853,32,3
9355,5,8411,51,3
4412,7,5134,36,3
7207,8,7777,23,4
9890,6,7025,96,2
834,7,4288,72,4
6821,7,1250,12,3
3781,3,9128,76,3
9012,1,6162,61,4
7499,8,3840,7,1
3424,8,6991,57,2
65,5,4735,28,4
2963,4,1155,67,2
5669,2,6086,77,3
8962,5,4041,27,1
354,5,8938,17,4
8171,4,5808,63,1
4030,6,3183,66,3
8534,1,1977,94,1
3651,7,7514,73,4
6739,8,4956,61,4
3297,1,3281,89,4
4127,9,8744,72,2
8043,3,5015,33,3
4767,9,9146,39,4
472,5,6987,17,2
3761,5,1954,77,2
8617,1,2799,8,3
3566,9,1311,68,4
2760,3,2863,22,2
868,1,2325,39,1
9382,3,7159,47,4
8688,2,3732,41,2
4052,1,3643,49,2
6130,3,8344,89,1
3244,3,1074,4,2
4842,2,6150,69,2
9330,6,5524,37,1
5640,3,9307,87,3
5780,3,5538,81,4
8540,1,9968,19,2
1075,1,1611,11,3
2957,2,5792,34,1
6752,5,7964,90,2
8657,9,3378,0,3
7272,1,9992,67,2
4759,5,5607,5,3
4862,6,4248,54,3
7025,2,318,40,4
7647,5,1046,20,3
7161,4,404,58,1
73,8,8252,31,1
4901,5,5138,14,4
4375,7,2147,22,3
6698,3,8309,18,4
9805,9,3967,92,1
1101,4,6520,88,3
9537,3,9944,83,1
7655,7,9382,98,2
5235,7,4052,19,4
5165,6,4380,1,1
118,3,4918,13,4
2022,2,6297,95,1
9885,4,5141,9,2
2638,1,7769,63,2
2034,7,424,64,1
2564,5,2962,70,2
8665,1,558,11,3
3543,7,3488,68,2
1219,8,3912,50,2
9714,5,5509,33,3
6711,6,6083,22,2
2903,4,6606,44,3
3026,6,4998,7,3
2510,1,425,29,2
4201,5,8221,29,3
3207,1,2813,17,2
4489,1,3089,82,2
2755,1,1980,44,1
8889,1,9412,43,2
177,5,9960,67,2
1643,8,9671,23,3
9292,7,5581,13,4
3518,6,4295,82,1
1374,4,1954,8,2
1720,4,8218,78,1
3995,2,4574,8,2
3688,8,5178,12,4
2264,9,1244,93,4
87,9,3786,20,3
2848,3,5006,24,1
8687,3,391,40,2
403,5,1829,83,2
9900,5,983,24,1
4077,4,6906,76,4
6835,8,860,26,4
6537,9,5432,19,1
2456,2,2746,52,3
2751,8,5344,46,4
2214,4,591,33,1
1027,3,6609,10,2
9703,2,6305,98,3
1421,5,5742,53,2
2436,9,4389,56,3
4277,1,6507,27,2
9609,5,607,84,2
1278,9,3394,19,2
6220,7,4929,50,1
4907,3,8443,79,3
5064,3,725,29,1
1978,6,5699,69,2
1061,9,4336,0,4
5014,5,8184,31,2
4535,4,2083,6,4
6993,9,8618,32,3
9253,5,7572,44,4
1502,5,3036,45,1
8568,5,7565,84,4
9314,2,1376,38,3
8836,7,7077,63,2
8920,1,5451,38,4
4918,5,8472,14,4
678,2,6551,61,3
5076,1,8844,80,2
8064,3,6794,9,1
7568,1,9015,50,1
102,3,446,49,4
957,1,1607,92,3
8556,2,901,87,1
3785,7,4052,72,4
9630,9,6971,33,2
7173,2,363,17,1
4043,9,2056,33,2
2648,8,4657,35,2
6000,4,8457,59,1
7927,5,7540,32,4
2826,6,4574,30,3
4094,9,8460,57,2
7774,3,9031,99,1
9258,3,5522,25,3
8113,9,2186,65,3
4772,7,6503,91,3
1947,8,912,51,4
6109,2,656,48,4
2299,8,9544,47,2
7844,8,3754,58,3
4382,4,4078,64,4
5425,6,570,35,3
6771,5,3446,81,3
8578,6,4750,18,1
4291,1,8691,36,3
528,4,6653,45,1
1233,5,6250,73,2
779,1,4177,9,4
5859,9,2277,92,1
3059,6,553,45,1
8587,1,3793,39,3
1860,4,335,45,2
8438,7,7313,75,2
7403,9,5216,9,1
4639,4,5543,87,2
4250,4,7066,66,2
1992,2,5611,46,4
7379,7,7490,26,1
7305,2,7518,31,2
5303,1,7742,8,1
8192,1,4871,90,2
7447,8,8940,52,3
2471,8,502,5,3
7197,3,1213,68,4
5312,8,4333,97,4
9035,3,2755,67,3
1396,2,1660,23,3
4002,4,7200,35,1
5371,2,4260,98,1
3235,3,3763,33,1
1042,9,4127,46,2
3298,3,5888,54,3
7256,6,6263,65,4
257,7,7497,45,4
7286,4,8282,67,2
8616,8,8722,68,1
7816,1,3278,13,1
5843,6,9650,85,3
2089,1,2521,44,3
7702,6,6786,91,4
503,3,7218,25,2
5265,2,6478,36,4
8814,2,2115,43,1
1345,4,5905,46,3
8455,3,1605,83,2
5046,1,9164,70,3
2248,4,7722,94,4
4981,7,3420,42,2
372,5,3221,29,4
8454,9,3770,80,3
3370,9,8358,60,1
2006,2,6352,61,1
3656,9,1755,40,1
