house_id,num_rooms,location,size_sqft,age,num_bathrooms,parking,garden,floor,price
1,7,Countryside,480,17,3,0,0,3,172841
2,4,Uptown,9712,23,4,1,0,2,1978472
3,8,Countryside,4442,92,1,0,1,3,885606
4,5,Industrial Area,3923,30,1,2,0,7,809692
5,7,Countryside,5029,57,2,3,1,1,1036880
6,3,Suburb,5559,27,1,2,1,8,1136957
7,7,Suburb,8329,8,3,3,1,3,1760862
8,8,Countryside,4984,44,3,2,1,5,1052543
9,5,Industrial Area,8154,89,4,0,0,5,1605049
10,4,Downtown,3932,48,3,2,1,6,800879
11,8,Suburb,6273,1,1,3,1,7,1352467
12,8,Countryside,6717,5,4,0,1,1,1443806
13,3,Countryside,1862,28,1,0,0,6,382912
14,6,Countryside,1713,25,2,3,0,2,397236
15,5,Downtown,6804,27,4,3,1,3,1418675
16,2,Uptown,1317,6,2,0,0,5,283750
17,8,Industrial Area,3954,33,4,3,0,1,873754
18,6,Uptown,7142,55,3,2,1,7,1459438
19,2,Industrial Area,9249,9,1,2,1,1,1888491
20,5,Industrial Area,6398,56,4,2,0,8,1295312
21,1,Countryside,9112,46,3,0,0,6,1793876
22,6,Suburb,3884,85,3,2,0,1,776940
23,9,Countryside,481,26,3,0,0,7,165751
24,1,Downtown,7129,38,2,3,1,3,1426169
25,3,Industrial Area,2967,21,3,2,0,7,623139
26,7,Suburb,6473,18,4,0,0,8,1372358
27,4,Industrial Area,5721,99,2,1,0,3,1090245
28,9,Industrial Area,9991,8,1,2,1,5,2100338
29,3,Countryside,9476,18,3,2,0,2,1924815
30,5,Suburb,2664,1,4,0,1,2,618520
31,3,Suburb,5816,91,4,0,1,1,1131207
32,7,Industrial Area,3605,60,2,3,1,3,752208
33,5,Suburb,2515,58,1,0,0,4,490215
34,9,Suburb,425,85,2,3,0,3,115345
35,7,Countryside,2920,69,3,1,1,8,611055
36,2,Uptown,4515,70,1,3,0,1,866016
37,4,Downtown,1751,69,1,2,1,5,345420
38,9,Uptown,9500,32,1,0,1,7,1972859
39,2,Suburb,9705,77,2,1,0,9,1901672
40,9,Industrial Area,5847,64,4,1,1,1,1222301
41,5,Downtown,7003,24,2,0,1,9,1442090
42,2,Downtown,7669,69,4,2,0,9,1502037
43,4,Industrial Area,3430,27,2,0,1,4,716833
44,7,Downtown,996,17,4,0,0,5,269202
45,8,Industrial Area,2570,62,4,0,0,6,548207
46,3,Downtown,9526,90,1,3,1,4,1873353
47,1,Uptown,9305,48,4,1,1,6,1849773
48,4,Downtown,8801,65,3,1,0,5,1750175
49,2,Countryside,9503,39,3,2,1,3,1909304
50,8,Industrial Area,9510,84,4,1,0,3,1919519
51,4,Downtown,3711,86,4,0,1,9,728388
52,2,Industrial Area,4018,65,4,1,0,5,778279
53,6,Countryside,7017,79,4,2,1,3,1408809
54,6,Downtown,5220,3,1,3,0,8,1124770
55,4,Downtown,2344,33,3,3,1,8,501509
56,6,Countryside,1416,4,1,0,1,3,341617
57,2,Countryside,1456,97,3,0,0,7,228875
58,2,Countryside,1288,21,4,1,0,9,286353
59,4,Industrial Area,5887,19,3,1,1,3,1231836
60,8,Countryside,2128,46,3,2,1,8,494092
61,7,Industrial Area,8172,76,2,0,1,1,1637315
62,9,Uptown,6388,33,2,2,1,3,1364166
63,8,Downtown,2645,43,4,3,0,4,598942
64,5,Downtown,9576,5,1,1,1,3,1984947
65,2,Suburb,3305,55,2,0,1,9,635887
66,5,Uptown,4735,28,4,1,0,5,991389
67,8,Countryside,6928,96,1,0,1,3,1380355
68,9,Countryside,376,52,2,3,0,3,134201
69,9,Uptown,6052,0,3,2,1,2,1319043
70,1,Countryside,2862,58,2,0,0,6,525690
71,9,Suburb,1872,47,4,1,0,9,449301
72,7,Industrial Area,7387,6,2,0,1,7,1551576
73,9,Downtown,6270,85,2,2,0,2,1279513
74,8,Uptown,8252,31,1,3,1,9,1717949
75,1,Downtown,6909,77,1,1,0,3,1315984
76,8,Industrial Area,8356,60,3,3,0,7,1717457
77,8,Uptown,3411,56,4,3,0,7,725322
78,3,Industrial Area,3037,50,3,2,1,4,621871
79,1,Countryside,9844,87,3,0,1,4,1916624
80,8,Countryside,5704,18,2,0,0,2,1203341
81,3,Countryside,9438,26,3,0,1,2,1911771
82,3,Industrial Area,4949,62,1,0,0,2,956847
83,1,Industrial Area,4168,59,3,1,0,5,804449
84,5,Industrial Area,3437,60,4,3,1,3,715654
85,7,Downtown,8124,60,3,0,0,7,1648883
86,9,Industrial Area,6436,86,4,3,1,7,1323226
87,7,Countryside,8099,44,4,1,0,6,1668600
88,9,Suburb,3786,20,3,1,1,8,846715
89,8,Industrial Area,1302,43,3,1,0,4,319434
90,2,Suburb,9311,92,3,3,0,9,1821275
91,1,Countryside,8914,0,4,0,0,5,1807412
92,7,Industrial Area,9063,94,1,3,0,4,1804707
93,7,Downtown,8206,90,2,0,0,3,1622479
94,8,Downtown,5659,43,3,2,1,9,1199741
95,5,Suburb,4830,99,2,0,1,4,924915
96,3,Downtown,9915,61,3,0,0,9,1968795
97,8,Downtown,1933,60,4,0,0,1,426755
98,6,Downtown,6969,90,4,1,1,5,1390955
99,3,Countryside,2053,78,2,2,1,1,393288
100,1,Downtown,8959,88,1,0,0,9,1723304
101,3,Uptown,6653,78,4,2,0,7,1314325
102,5,Industrial Area,8564,82,2,3,0,9,1701446
103,3,Downtown,446,49,4,3,0,5,101812
104,1,Downtown,7807,74,3,1,0,9,1523040
105,5,Downtown,616,40,2,3,0,4,161401
106,7,Uptown,9097,32,2,2,1,3,1886811
107,7,Downtown,9066,86,3,2,0,2,1814654
108,9,Downtown,1477,11,2,2,0,4,386411
109,3,Industrial Area,3722,1,3,2,1,3,792796
110,7,Uptown,2894,20,1,2,1,9,648843
111,1,Uptown,8803,13,3,1,1,8,1773667
112,4,Downtown,1064,33,1,0,0,1,223002
113,4,Uptown,8136,78,2,3,1,2,1618274
114,5,Suburb,6577,84,3,2,0,3,1306539
115,7,Uptown,735,63,2,3,1,6,173783
116,7,Uptown,3651,22,1,1,1,5,795686
117,4,Uptown,3230,84,4,1,1,5,630090
118,7,Countryside,434,49,4,0,0,6,124981
119,3,Countryside,4918,13,4,1,1,8,1036951
120,6,Countryside,9295,84,4,0,1,1,1858620
121,2,Uptown,2666,75,4,2,1,5,514219
122,9,Suburb,9968,45,1,1,0,6,2042477
123,5,Uptown,3715,4,4,3,0,6,809921
124,6,Downtown,1306,65,4,1,0,9,273219
125,4,Suburb,8208,21,2,1,0,7,1673934
126,7,Countryside,9484,69,3,2,0,4,1917259
127,9,Industrial Area,4991,1,3,0,1,7,1104284
128,7,Suburb,7969,28,3,0,1,7,1664277
129,1,Countryside,8129,60,3,1,0,6,1592289
130,1,Suburb,2196,99,1,3,1,8,369904
131,9,Suburb,3365,70,3,1,1,8,723721
132,9,Uptown,3048,15,2,3,0,6,710892
133,4,Downtown,6992,63,1,2,0,2,1378653
134,9,Industrial Area,2961,96,4,2,0,5,620609
135,3,Countryside,3278,96,2,0,1,1,610104
136,7,Suburb,7249,13,2,3,0,9,1521981
137,6,Industrial Area,6675,42,4,1,0,4,1378735
138,8,Suburb,6759,75,4,1,0,1,1370619
139,9,Downtown,6407,42,2,1,1,3,1359348
